year,qatari-males,qatari-females,qatari-aggregate,non-qatari-males,non-qatari-females,non-qatari-aggregate,male-aggregate,female-aggregate,overall-aggregate,degree,university,education-level
2023,0,0,0,0,2,2,0,2,2,Genetic Counselling,Qatar University,Masters
2023,0,0,0,0,4,4,0,4,4,Human Nutrition,Qatar University,Masters
2023,0,1,1,1,3,4,1,4,5,Public Health,Qatar University,Masters
2023,4,10,14,1,2,3,5,12,17,Private Law,Qatar University,Masters
2023,4,13,17,1,1,2,5,14,19,Public Law,Qatar University,Masters
2023,0,0,0,0,22,22,0,22,22,Pharmacy,Qatar University,Masters
2023,3,2,5,5,0,5,8,2,10,Fiqh and Usul,Qatar University,Masters
2023,0,2,2,2,7,9,2,9,11,Quranic Sciences and Exegesis,Qatar University,Masters
2023,2,3,5,0,4,4,2,7,9,Religions and Creed,Qatar University,Masters
2023,0,1,1,0,3,3,0,4,4,Master of Science in Diabetes Care and Patient Education,University of Doha for Science and Technology,Masters
2023,0,7,7,0,1,1,0,8,8,Master of Science in Human Resource Management,University of Doha for Science and Technology,Masters
2023,0,0,0,0,1,1,0,1,1,Biological and Environmental Sciences,Qatar University,Doctorate
2023,0,1,1,1,1,2,1,2,3,Gulf Studies,Qatar University,Doctorate
2023,0,0,0,0,3,3,0,3,3,Business Administration,Qatar University,Doctorate
2023,0,0,0,0,1,1,0,1,1,Architecture,Qatar University,Doctorate
2023,0,0,0,1,1,2,1,1,2,Chemical Engineering,Qatar University,Doctorate
2023,0,0,0,3,0,3,3,0,3,Civil Engineering,Qatar University,Doctorate
2023,0,0,0,0,1,1,0,1,1,Computer Engineering,Qatar University,Doctorate
2023,0,0,0,0,2,2,0,2,2,Computer Science,Qatar University,Doctorate
2023,0,0,0,1,1,2,1,1,2,Electrical Engineering,Qatar University,Doctorate
2023,0,0,0,2,1,3,2,1,3,Engineering Management,Qatar University,Doctorate
2023,0,0,0,0,1,1,0,1,1,Environmental Engineering,Qatar University,Doctorate
2023,0,0,0,1,0,1,1,0,1,Urban Planning,Qatar University,Doctorate
2023,2,0,2,0,0,0,2,0,2,Law,Qatar University,Doctorate
