year,qatari-males,qatari-females,qatari-aggregate,non-qatari-males,non-qatari-females,non-qatari-aggregate,male-aggregate,female-aggregate,overall-aggregate,degree,university,education-level
2019,0,0,0,4,5,9,4,5,9,Public Health,Qatar University,Masters
2019,5,3,8,2,1,3,7,4,11,Private Law,Qatar University,Masters
2019,7,4,11,0,0,0,7,4,11,Public Law,Qatar University,Masters
2019,0,0,0,0,17,17,0,17,17,Pharmacy,Qatar University,Masters
2019,1,5,6,4,3,7,5,8,13,Fiqh & Usul Al Fiqh,Qatar University,Masters
2019,3,2,5,0,0,0,3,2,5,Quranic Sciences & Exegesis,Qatar University,Masters
2019,0,0,0,0,2,2,0,2,2,Biological & Environmental Science,Qatar University,Doctorate
2019,0,0,0,1,0,1,1,0,1,Civil Engineering,Qatar University,Doctorate
2019,0,0,0,1,0,1,1,0,1,Computer Engineering,Qatar University,Doctorate
2019,0,0,0,3,2,5,3,2,5,Electrical Engineering,Qatar University,Doctorate
2019,0,1,1,0,0,0,0,1,1,Engineering Management,Qatar University,Doctorate
2019,0,0,0,0,1,1,0,1,1,Material Sci and Engin,Qatar University,Doctorate
2018,223,511,734,3,8,11,226,519,745,Community College ,,Pre-University Diploma
2018,20,1,21,0,0,0,20,1,21,Ras Laffan Emergency & Safety College ,,Pre-University Diploma
2018,2,170,172,9,118,127,11,288,299,B.A in Education,,Bachelor
2018,75,551,626,87,350,437,162,901,1063,B.A In Art & science,,Bachelor
2018,19,88,107,26,51,77,45,139,184,B.A In Sharia & Islamic Studies,,Bachelor
2018,23,104,127,199,114,313,222,218,440,B.Sc. In Engineering,,Bachelor
2018,184,478,662,67,126,193,251,604,855,"B.Sc. In Admin, & Economics",,Bachelor
2018,43,123,166,8,19,27,51,142,193,B.Sc. In Law,,Bachelor
2018,0,10,10,0,77,77,0,87,87,B.Sc Health Sciences,,Bachelor
2018,0,0,0,0,23,23,0,23,23,B.Sc. Pharmacy,,Bachelor
2018,0,4,4,0,1,1,0,5,5,Early Childhood,,Diploma
2018,0,0,0,0,7,7,0,7,7,Primary Education,,Diploma
2018,0,1,1,3,0,3,3,1,4,Secondary Education,,Diploma
2018,0,7,7,6,0,6,6,7,13,Special Education,,Diploma
2018,0,1,1,0,1,1,0,2,2,Applied Statistics,,Masters
2018,0,6,6,1,3,4,1,9,10,Arabic Language & Literature,,Masters
2018,1,0,1,2,4,6,3,4,7,Environmental Sciences,,Masters
2018,1,3,4,0,4,4,1,7,8,Gulf Studies,,Masters
2018,0,0,0,2,4,6,2,4,6,Material Sciences & Technology,,Masters
2018,0,2,2,1,7,8,1,9,10,Accounting,,Masters
2018,1,8,9,11,10,21,12,18,30,Business Administration,,Masters
2018,0,6,6,3,12,15,3,18,21,Marketing,,Masters
2018,0,1,1,2,5,7,2,6,8,"Curriculum,Instruc. & Assessm.",,Masters
2018,1,2,3,1,6,7,2,8,10,Education Leadership,,Masters
2018,0,1,1,0,2,2,0,3,3,Special Education,,Masters
2018,0,0,0,10,0,10,10,0,10,Civil Engineering,,Masters
2018,0,1,1,8,7,15,8,8,16,Computing,,Masters
2018,0,0,0,5,2,7,5,2,7,Electrical Engineering,,Masters
2018,2,5,7,9,7,16,11,12,23,Engineering Management,,Masters
2018,0,1,1,3,3,6,3,4,7,Environmental Engineering,,Masters
2018,0,0,0,7,0,7,7,0,7,Mechanical Engineering,,Masters
2018,0,0,0,1,6,7,1,6,7,Urban Planning and Design,,Masters
2018,1,2,3,0,7,7,1,9,10,Biomedical Sciences,,Masters
2018,0,2,2,5,3,8,5,5,10,Public Health,,Masters
2018,4,4,8,0,2,2,4,6,10,Private Law,,Masters
2018,9,8,17,1,,1,10,8,18,Public Law,,Masters
2018,0,6,6,2,17,19,2,23,25,Pharmacy,,Masters
2018,1,4,5,7,0,7,8,4,12,Fiqh & Usul Al Fiqh,,Masters
2018,5,4,9,0,3,3,5,7,12,Quranic Sciences & Exegesis,,Masters
2018,1,0,1,0,1,1,1,1,2,Biological & Environmental Science,,Doctorate
2018,0,0,0,1,0,1,1,0,1,Chemical Engineering,,Doctorate
2018,0,0,0,1,0,1,1,0,1,Computer Science,,Doctorate
2018,0,0,0,1,1,2,1,1,2,Electrical Engineering,,Doctorate
2018,2,1,3,0,0,0,2,1,3,Engineering Management,,Doctorate
2017,229,434,663,1,2,3,230,436,666,Community College ,,Pre-University Diploma
2017,5,157,162,13,98,111,18,255,273,B.A in Education,,Bachelor
2017,73,515,588,88,279,367,161,794,955,B.A In Art & science,,Bachelor
2017,7,91,98,29,55,84,36,146,182,B.A In Sharia & Islamic Studies,,Bachelor
2017,18,85,103,167,131,298,185,216,401,B.Sc. In Engineering,,Bachelor
2017,116,463,579,100,134,234,216,579,813,"B.Sc. In Admin, & Economics",,Bachelor
2017,40,89,129,8,19,27,48,108,156,B.Sc. In Law,,Bachelor
2017,0,7,7,0,65,65,0,72,72,B.Sc Health Sciences,,Bachelor
2017,0,3,3,0,21,21,0,24,24,B.Sc. Pharmacy,,Bachelor
2017,0,4,4,0,1,1,0,5,5,Early Childhood,,Diploma
2017,0,4,4,0,12,12,0,16,16,Primary Education,,Diploma
2017,0,2,2,11,6,17,11,8,19,Special Education,,Diploma
2017,0,2,2,0,4,4,0,6,6,Arabic Language & Literature,,Masters
2017,0,3,3,3,2,5,3,5,8,Environmental Sciences,,Masters
2017,0,5,5,1,8,9,1,13,14,Gulf Studies,,Masters
2017,0,1,1,4,0,4,4,1,5,Material Sciences & Technology,,Masters
2017,1,3,4,3,3,6,4,6,10,Accounting,,Masters
2017,7,2,9,3,4,7,10,6,16,Business Administration,,Masters
2017,0,1,1,0,2,2,0,3,3,"Curriculum,Instruc. & Assessm.",,Masters
2017,0,9,9,0,3,3,0,12,12,Education Leadership,,Masters
2017,0,1,1,1,8,9,1,9,10,Special Education,,Masters
2017,0,0,0,5,0,5,5,0,5,Civil Engineering,,Masters
2017,1,1,2,3,8,11,4,9,13,Computing,,Masters
2017,0,0,0,3,2,5,3,2,5,Electrical Engineering,,Masters
2017,3,3,6,9,6,15,12,9,21,Engineering Management,,Masters
2017,1,0,1,3,4,7,4,4,8,Environmental Engineering,,Masters
2017,0,0,0,3,1,4,3,1,4,Mechanical Engineering,,Masters
2017,1,2,3,0,10,10,1,12,13,Urban Planning and Design,,Masters
2017,0,0,0,0,1,1,0,1,1,Biomedical Sciences,,Masters
2017,0,1,1,0,2,2,0,3,3,Public Health,,Masters
2017,3,5,8,1,1,2,4,6,10,Private Law,,Masters
2017,3,5,8,0,1,1,3,6,9,Public Law,,Masters
2017,0,3,3,3,19,22,3,22,25,Pharmacy,,Masters
2017,4,1,5,3,3,6,7,4,11,Fiqh & Usul Al Fiqh,,Masters
2017,5,3,8,3,2,5,8,5,13,Quranic Sciences & Exegesis,,Masters
2017,0,1,1,0,0,0,0,1,1,Biological & Environmental Science,,Doctorate
2017,0,1,1,0,0,0,0,1,1,Computer Science,,Doctorate
2017,0,0,0,1,0,1,1,0,1,Civil Engineering,,Doctorate
2017,0,0,0,0,1,1,0,1,1,Urban Planning and Design,,Doctorate
